artist_id,artist_name,primary_genre,country,career_stage,followers_millions,artist_star_power,debut_year
ART0067,Milo Monroe,rnb,CO,Rising,2.67,47.1,2009
ART0068,Zoe Sol,hip_hop,ES,Established,5.0,52.2,2015
ART0069,Rune Wilde,lofi,BR,Rising,1.19,37.1,2015
ART0070,Dax Monroe,lofi,US,Rising,1.47,26.5,2023
ART0071,The Sols,rnb,IT,Rising,2.78,42.2,2022
ART0072,Remy Reyes,pop,FR,Rising,1.03,35.2,2005
ART0073,Voss,latin,ES,Established,25.19,82.2,2017
ART0074,Dax Delacroix,classical,GB,Established,1.71,47.4,2007
ART0075,Talia Lark,country,NL,Rising,0.75,29.8,2017
ART0076,Storm,metal,AU,Established,10.72,66.1,2023
ART0077,Lark,metal,JM,Established,1.6,39.8,2012
ART0078,Ava Voss,country,CO,Veteran,6.28,45.7,2023
ART0079,Sana Vega,jazz,BR,Veteran,8.1,63.3,2020
ART0080,Kai Reyes,afrobeats,IN,Established,8.25,72.0,2022
ART0081,Ezra Marin,hyperpop,FR,Rising,1.16,25.1,2007
ART0082,Wren Sol,rnb,CA,Established,12.79,79.7,2020
ART0083,Priya Delacroix,classical,NL,Established,7.16,51.9,2023
ART0084,Dax Vega,afrobeats,CO,Established,12.24,67.4,2006
ART0085,Marin,rock,BR,Rising,3.08,36.1,2022
ART0086,The Vales,afrobeats,DE,Veteran,8.37,72.0,2020
ART0087,Amara Marin,rock,CO,Established,15.15,69.4,2018
ART0088,Kane,rock,DE,Rising,1.28,37.4,2017
ART0089,Nia Anders,pop,IT,Veteran,1.95,40.2,2016
ART0090,Aiden Reyes,classical,DE,Veteran,3.03,45.3,2007
ART0091,Bo Blaze,edm,KR,Veteran,1.22,34.9,2023
ART0092,Kai Wilde,afrobeats,AU,Established,5.99,61.8,2012
ART0093,Remy Anders,lofi,SE,Veteran,4.51,50.1,2019
ART0094,Leo Sterling,rnb,CA,Veteran,0.7,31.4,2010
ART0095,Blaze,hyperpop,IT,Rising,0.81,20.3,2006
ART0096,Tobi Nova,kpop,GB,Rising,5.49,49.9,2016
ART0097,Lena Lark,kpop,JP,Veteran,5.4,44.2,2015
ART0098,Finn Vega,country,FR,Rising,10.36,59.1,2008
ART0099,Talia Cruz,jazz,NL,Established,7.81,70.0,2023
ART0100,Lena Wilde,classical,GB,Rising,1.84,48.7,2023
ART0101,Anders,hyperpop,DE,Rising,2.61,39.8,2017
ART0102,Kai Monroe,kpop,JM,Established,4.1,73.0,2012
ART0103,Finn Anders,hip_hop,IT,Rising,3.97,51.3,2010
ART0104,Priya Okafor,classical,US,Rising,1.14,24.8,2010
ART0105,Skye Nova,country,FR,Established,7.01,58.6,2005
ART0106,Ava Lark,metal,SE,Rising,7.64,49.5,2006
ART0107,The Marins,hip_hop,CA,Rising,2.49,29.1,2022
ART0108,The Cruzs,pop,US,Rising,2.81,33.0,2017
ART0109,Monroe,metal,CO,Rising,2.02,33.7,2013
ART0110,Vale,edm,IN,Established,14.52,74.6,2021
ART0111,Jax Frost,afrobeats,CA,Established,4.46,63.6,2010
ART0112,The Monroes,jazz,CO,Rising,7.68,51.4,2006
ART0113,Noor Marin,hyperpop,IT,Veteran,10.82,95.4,2014
ART0114,Okafor,rnb,NL,Rising,1.7,39.5,2014
ART0115,Cole Reyes,metal,SE,Veteran,10.99,83.4,2022
ART0116,The Vosss,rock,US,Rising,10.2,60.5,2010
ART0117,The Delacroixs,jazz,ES,Veteran,3.76,34.6,2011
ART0118,Jax Storm,metal,ES,Rising,7.44,49.1,2020
ART0119,Nia Monroe,lofi,MX,Rising,5.54,49.6,2005
ART0120,Lena Sterling,rnb,AU,Veteran,10.23,76.5,2007
ART0121,Aiden Vega,pop,ES,Rising,1.16,22.3,2005
ART0122,Skye Blaze,pop,JM,Rising,2.06,30.0,2016
ART0123,Ava Cruz,country,US,Rising,11.36,57.7,2019
ART0124,Kai Cruz,afrobeats,IN,Established,10.52,76.2,2006
ART0125,The Reyess,kpop,CA,Veteran,5.2,49.2,2016
ART0126,Theo Kane,indie,AU,Veteran,12.86,79.6,2011
ART0127,Cole Sol,hip_hop,SE,Rising,1.8,26.0,2013
ART0128,Wilde,jazz,CA,Rising,2.66,38.1,2017
ART0129,Mira Marin,metal,IT,Rising,8.99,53.3,2017
ART0130,Noor Anders,kpop,ES,Established,4.16,67.3,2020
