track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
TRK468D5035F2,0.827,0.858,6,-0.53,1,0.074,0.0,0.013,0.27,0.627,122.2,4
TRK333D827D4B,0.502,0.81,5,-5.22,1,0.079,0.0,0.156,0.292,0.513,120.7,4
TRK0533B80892,0.927,0.425,5,-6.34,0,0.115,0.235,0.0,0.117,0.558,108.1,4
TRK26B157767E,0.597,0.525,9,-7.97,1,0.132,0.492,0.0,0.134,0.373,109.3,4
TRK2018268CE0,0.549,0.504,11,-8.73,1,0.0,0.267,0.056,0.107,0.707,140.4,4
TRKE636BB1B20,0.301,0.214,3,-13.86,1,0.026,0.861,0.693,0.094,0.518,95.0,4
TRK964FADD35D,0.676,0.794,4,-6.57,0,0.03,0.015,0.107,0.18,0.413,136.7,4
TRKA248E222DA,0.705,0.935,1,-3.87,1,0.031,0.045,0.204,0.142,0.725,130.9,4
TRK0966E0E7BA,0.8,0.66,9,-6.73,0,0.112,0.0,0.0,0.118,0.357,124.9,4
TRK5E8F99F493,0.97,0.78,3,-3.12,1,0.116,0.126,0.0,0.091,0.782,103.4,4
TRK3B7F7D619A,0.628,0.655,0,-0.68,1,0.089,0.148,0.006,0.201,0.942,118.6,4
TRK81EFABB173,0.362,0.907,11,-4.45,0,0.059,0.0,0.062,0.245,0.516,159.1,3
TRK1A8D4BF2C6,0.48,0.388,1,-9.19,1,0.095,0.202,0.0,0.146,0.555,92.3,4
TRKB75078C77D,0.8,0.787,5,-5.32,0,0.074,0.0,0.0,0.147,0.744,130.2,4
TRK9256622481,0.633,0.88,11,-4.29,0,0.071,0.046,0.168,0.211,0.303,148.9,4
TRK99A7121419,0.856,0.577,5,-5.45,0,0.287,0.089,0.079,0.129,0.471,117.3,3
TRK4C18A4CCD1,0.439,0.713,4,-4.0,1,0.031,0.197,0.0,0.293,0.533,108.6,4
TRK9902B4E9A6,0.76,0.714,8,-3.9,0,0.058,0.0,0.114,0.284,0.469,131.8,4
TRK21AD2E9C58,0.378,0.543,11,-5.3,1,0.089,0.0,0.033,0.176,0.332,103.6,4
TRK840E1646F8,0.278,0.931,3,-1.02,1,0.0,0.087,0.0,0.293,0.424,145.9,3
TRKDE660A72C5,0.484,0.816,1,-4.56,1,0.046,0.0,0.122,0.208,0.467,137.6,3
TRKD6C5953E76,0.784,0.689,2,-7.86,1,0.178,0.04,0.0,0.196,0.549,99.3,4
TRKE52C04B7B1,0.715,0.685,0,-3.47,1,0.037,0.123,0.0,0.2,0.499,113.0,3
TRKCB6E5EDC2F,0.681,0.682,8,-5.49,1,0.012,0.242,0.0,0.184,0.757,92.3,4
TRKAF02DD4741,0.691,0.519,0,-1.12,0,0.073,0.297,0.152,0.198,0.608,112.4,4
TRK0503250D43,0.592,0.838,3,-6.06,1,0.095,0.318,0.211,0.0,0.746,74.1,4
TRK36FE18C61F,0.404,0.817,1,-3.04,1,0.055,0.0,0.161,0.225,0.424,135.3,4
TRKE3604FC822,0.335,0.899,3,-4.68,1,0.014,0.107,0.11,0.361,0.851,143.0,3
TRK6F5B779E25,0.737,0.725,2,-6.47,0,0.109,0.0,0.07,0.197,0.578,134.5,4
TRKDAB0C88487,0.689,0.484,8,-7.82,0,0.083,0.34,0.062,0.077,0.461,69.8,4
TRKA1412EE870,0.73,0.674,3,-6.67,0,0.186,0.082,0.01,0.074,0.506,94.6,4
TRK8394DAE8D1,0.594,0.838,5,-2.85,1,0.059,0.099,0.0,0.161,0.589,122.0,5
TRKAE81E27752,0.72,0.782,0,-5.76,1,0.102,0.035,0.043,0.123,0.611,121.1,4
TRK72327B8347,0.658,0.68,4,-3.64,1,0.141,0.099,0.061,0.247,0.638,151.1,4
TRKD2F5FD7512,0.707,0.593,10,-7.5,1,0.23,0.147,0.0,0.144,0.619,99.2,4
TRK454C91BEDC,0.42,0.255,6,-11.9,0,0.098,0.546,0.23,0.25,0.597,118.1,4
TRK69BDFA757F,0.823,0.699,11,-5.26,0,0.281,0.054,0.0,0.168,0.432,97.1,4
TRK6855EC66C5,0.688,1.0,7,-3.69,1,0.068,0.0,0.054,0.205,0.378,115.1,4
TRKFE098F46FD,0.298,0.583,6,-12.04,1,0.094,0.635,0.782,0.045,0.625,87.4,5
TRK71FAFE16F9,0.215,1.0,1,-4.22,0,0.075,0.085,0.193,0.261,0.031,120.8,5
TRK949DFDCF42,0.606,0.687,6,-4.48,0,0.104,0.131,0.087,0.151,0.575,126.5,4
TRKB55DF452B7,0.708,0.729,7,-3.07,1,0.057,0.229,0.002,0.084,0.655,98.9,4
TRK9DB4548D7B,0.614,0.688,10,-5.92,1,0.073,0.332,0.079,0.218,0.657,128.5,5
TRK8ADCC37C40,0.422,0.926,7,-10.61,1,0.025,0.157,0.03,0.197,0.499,161.5,4
TRKFCCB35425A,0.699,0.468,2,-5.32,0,0.075,0.296,0.0,0.118,0.908,112.9,4
TRK09ADF319D0,0.391,0.819,10,-6.23,0,0.091,0.142,0.248,0.3,0.333,174.1,4
TRKB4FF2F9B48,0.253,1.0,8,-2.99,0,0.0,0.0,0.133,0.323,0.433,172.4,4
TRKDBB08A9D35,0.863,0.516,1,-7.67,1,0.217,0.312,0.065,0.142,0.59,77.7,4
TRK1F8D373818,0.77,0.582,8,-2.48,1,0.125,0.047,0.0,0.136,0.74,105.1,5
TRKCAD1029568,0.281,0.279,8,-13.1,0,0.02,0.922,0.769,0.092,0.349,92.0,3
TRKCF0FBA999B,0.383,0.149,1,-16.9,0,0.056,0.967,0.67,0.101,0.591,155.2,4
TRKF2D99E26A5,0.246,0.984,6,-5.54,1,0.024,0.0,0.306,0.259,0.557,106.8,4
TRK9E2A7C0893,0.341,0.153,0,-13.16,0,0.0,1.0,0.8,0.127,0.576,92.1,4
TRKBC6FC44338,0.28,0.778,5,-2.79,0,0.102,0.0,0.165,0.304,0.494,133.2,4
TRK0C5C7D6FDE,0.656,0.558,1,-7.56,1,0.045,0.356,0.0,0.114,0.732,,4
TRK62BC05A8BA,0.468,0.624,3,-5.87,1,0.223,0.0,0.117,0.309,0.427,97.0,4
TRK2507C3D896,0.745,0.864,3,-4.61,1,0.065,0.185,0.084,0.114,0.209,117.8,4
TRK0EF18314C5,0.468,0.721,7,-5.35,1,0.058,0.052,0.085,0.165,0.443,128.2,4
TRK7CD20BD47E,0.375,0.971,5,-7.97,1,0.029,0.117,0.288,0.278,0.577,122.7,4
TRKC2746A6A50,0.76,0.78,9,-5.29,1,0.094,0.0,0.008,0.164,0.274,123.6,4
TRK40ABED21C2,0.794,0.881,0,-5.18,1,0.058,0.197,0.028,0.122,0.455,105.1,4
TRK541A1883A7,0.292,0.857,6,-6.96,1,0.06,0.004,0.127,0.3,0.389,130.9,3
TRK95A652B3AF,0.597,0.654,10,-5.56,1,0.078,0.165,0.0,0.196,0.395,92.3,4
TRK5B7F27032A,0.793,0.91,11,-3.79,1,0.021,0.165,0.101,0.17,0.559,126.0,4
TRK740350EB99,0.73,0.616,6,-6.64,1,0.277,0.062,0.0,0.18,0.532,109.8,4
TRK7F2119E165,0.648,0.411,10,-7.09,1,0.038,0.498,0.118,0.155,0.373,133.5,4
TRKDF6BD723F0,0.774,0.881,9,-5.33,1,0.0,0.0,0.136,0.142,0.817,138.8,4
TRKAB429E9D56,0.558,0.653,7,-4.71,1,0.05,0.27,0.0,0.126,0.565,114.2,4
TRK081B3CF8DE,0.491,0.577,2,-9.99,1,0.031,0.34,0.083,0.054,0.341,73.4,4
TRK45A58D9F33,0.695,0.892,6,-6.84,0,0.083,0.089,0.061,0.133,0.607,110.5,4
TRKEDA3AFE4C1,0.717,0.698,4,-6.21,1,0.103,0.145,0.0,0.19,0.961,107.5,4
TRK7DA353CB53,0.559,0.619,8,-7.34,1,0.0,0.333,0.093,0.19,0.428,93.3,4
TRKF066F32BC0,0.656,0.452,1,-9.78,1,0.094,0.57,0.451,0.029,0.219,68.2,4
TRK86282ACBCA,0.588,0.745,9,-6.35,0,0.088,0.0,0.0,0.182,0.294,135.8,4
TRK2A8B199D28,0.574,0.473,6,-5.97,0,0.041,0.356,0.0,0.228,0.809,101.3,4
TRK92C94B2CC7,0.553,0.552,1,-6.49,0,0.099,0.207,0.203,0.035,0.486,90.5,4
TRKAE564F1D3B,0.419,0.875,10,-6.8,0,0.077,0.0,0.138,0.323,0.363,118.0,4
TRKB7DA07E3FD,0.61,0.707,6,-3.1,0,0.074,0.09,0.0,0.127,0.239,114.7,4
TRKF86E14201B,0.725,0.674,11,-4.05,0,0.097,0.17,0.0,0.196,0.775,99.0,4
TRKA192C84003,0.513,0.556,0,-7.8,1,0.095,0.199,0.035,0.169,0.469,92.5,4
TRK3E0B194A9F,0.964,0.819,6,-1.93,1,0.182,0.261,0.077,0.159,0.678,107.6,4
TRKF912236D77,0.362,0.159,4,-13.66,1,0.041,0.822,0.789,0.08,0.486,50.0,4
TRKD5F82ACAFC,0.732,0.569,10,-6.65,1,0.214,0.06,0.038,0.31,0.859,82.6,4
TRKE79F82349B,0.502,0.972,7,-7.47,0,0.123,0.195,0.2,0.212,0.497,157.2,4
TRKD7B7CB39D7,0.829,0.611,6,-4.39,1,0.091,0.257,0.054,0.21,0.708,93.5,4
TRK512FEB3BF3,0.808,0.809,6,-4.41,1,0.08,0.39,0.126,0.165,0.681,127.8,4
TRKB817BF4B74,0.504,0.468,7,-14.36,1,0.0,0.515,0.438,0.098,0.317,71.4,4
TRK12370F2932,0.75,0.698,1,-7.29,0,0.162,0.312,0.074,0.204,0.643,97.4,4
TRKF5B9320649,0.303,0.175,9,-14.55,0,0.002,0.842,0.989,0.126,0.275,137.7,3
TRK4FA8857A43,0.497,0.855,9,-7.84,1,0.034,0.254,0.058,0.262,0.492,123.6,3
TRK162AF43DC2,0.458,0.989,4,-7.72,1,0.056,0.132,0.078,0.413,0.294,182.0,3
TRK6F286ED5C5,0.56,0.741,7,-3.77,1,0.051,0.197,0.233,0.291,0.539,98.5,4
TRK960698A0AB,0.619,0.713,6,-7.71,1,0.271,0.0,0.015,0.084,0.381,93.0,4
TRK3B14575379,0.813,0.644,0,-5.81,0,0.015,0.083,0.0,0.235,0.799,100.5,4
TRK36CE7125CC,0.369,1.0,11,-5.28,1,0.01,0.0,0.056,0.2,0.574,166.6,4
TRKD241BD0C32,0.538,0.532,8,-5.49,1,0.139,0.0,0.181,0.125,0.609,101.4,4
TRKAB8BCA224A,0.758,0.777,2,-2.8,0,0.122,0.083,0.0,0.128,0.723,83.6,5
TRK84BD267A60,0.523,0.841,11,-5.29,0,0.096,0.091,0.133,0.128,0.395,165.1,4
TRKA2321E18F3,0.943,0.672,9,-6.59,1,0.09,0.128,0.0,0.231,0.702,104.7,4
TRK220F581B4E,0.441,0.255,9,-16.12,1,0.015,0.523,0.411,0.051,0.328,72.9,4
TRKE83F24E376,0.631,0.844,1,-7.47,0,0.039,0.105,0.018,0.261,0.746,118.0,4
TRK2C2C382489,0.418,0.827,10,-3.95,0,0.031,0.187,0.0,0.261,0.523,134.2,4
TRK68EF77A60B,0.406,0.232,11,-13.81,1,0.097,0.915,0.215,0.135,0.505,57.3,4
TRK7CD32C7B7A,0.909,0.638,3,-2.98,0,0.097,0.112,0.0,0.191,0.615,91.3,4
TRK9E130A6521,0.7,0.838,9,-2.14,1,0.067,0.0,0.0,0.226,0.609,128.2,4
TRK8E92542496,0.755,0.708,4,-1.78,0,0.056,0.049,0.0,0.146,0.589,135.3,4
TRKEB2DF1F807,0.717,0.755,10,-5.46,0,0.033,0.0,0.0,0.253,0.405,154.3,4
TRK23E6796A0F,0.679,0.665,6,-4.28,1,0.107,0.092,0.0,0.094,0.625,106.2,4
TRK92318AB4F4,0.752,0.335,10,-9.63,0,0.081,0.088,0.121,0.136,0.303,90.5,4
TRK2738A4FB49,0.485,0.251,2,-16.47,0,0.0,0.898,0.759,0.089,0.413,88.6,4
TRK9999D67388,0.112,1.0,6,-5.48,0,0.077,0.0,0.0,0.325,0.418,183.2,4
TRK48149C26B3,0.795,0.666,2,-3.59,0,0.091,0.0,0.022,0.229,0.477,115.4,4
TRK05F87C35BA,0.594,0.706,1,-4.91,1,0.015,0.0,0.074,0.27,0.419,132.8,4
TRKF5FF2C57EF,0.74,0.709,11,-3.23,1,0.156,0.316,0.0,0.129,0.864,104.1,4
TRK22BBDF4FE0,0.349,0.593,9,-8.14,1,0.042,0.157,0.0,0.247,0.615,109.3,4
TRK65FF52160B,0.24,0.248,1,-13.78,1,0.03,1.0,0.906,0.146,0.352,94.7,4
TRK9B234B38A7,0.579,0.458,3,-12.21,0,0.012,0.777,0.409,0.196,0.561,50.0,4
TRKC96E9BB3ED,0.546,0.267,2,-9.86,1,0.05,0.639,0.711,0.149,0.487,65.8,4
TRKB2AAC41AF3,0.405,0.516,2,-2.16,1,0.05,0.387,0.038,0.246,0.626,76.2,4
TRKC2C9BD2973,0.579,0.463,4,-3.88,0,0.076,0.171,0.0,0.166,0.53,135.0,4
TRKCA132E6CC4,0.755,0.741,5,-9.84,1,0.011,0.021,0.125,0.158,0.717,86.1,4
TRKF765AFBD50,0.493,0.763,3,-5.59,0,0.045,0.08,0.021,0.221,0.447,91.3,4
TRK4A3FE68A22,0.436,0.83,0,-5.81,0,0.107,0.0,0.066,0.297,0.359,121.5,4
TRK1BF4A68B90,0.814,0.757,2,-8.37,0,0.067,0.248,0.0,0.164,0.631,105.3,4
TRK26EB25A546,0.84,0.82,6,-3.0,1,0.051,0.131,0.0,0.055,0.723,109.9,4
TRK7335E5EAF4,0.511,0.488,9,-10.88,0,0.012,0.789,0.365,0.197,0.355,126.7,4
TRKBE683647D7,0.343,0.171,8,-15.52,1,0.0,0.717,1.0,0.156,0.455,85.8,4
TRK0C57C42916,0.862,0.541,9,-7.05,1,0.113,0.162,0.0,0.171,0.713,95.1,4
TRKA6CBF89B91,0.692,0.635,1,-2.4,1,0.139,0.225,0.025,0.185,0.597,117.7,4
TRK4343C38AD4,0.532,0.219,3,-10.96,0,0.024,0.483,0.599,0.114,0.6,61.1,4
TRKC91478E9AA,0.635,0.587,8,-9.58,0,0.08,0.456,0.0,0.08,0.636,83.5,4
TRK25F08F9CB1,0.634,0.796,7,-2.65,0,0.089,0.185,0.0,0.205,0.626,109.3,4
TRK5FE8CFA1AE,0.586,0.553,11,-6.7,1,0.236,0.093,0.11,0.299,0.74,122.6,4
TRKA867AEBED0,0.719,0.601,9,-5.12,1,0.082,0.335,0.0,0.141,0.598,110.7,3
TRK9878657C0C,0.78,0.746,2,-6.87,1,0.039,0.225,0.0,0.211,0.676,84.1,4
TRKD97DA04817,0.825,0.689,5,-6.57,0,0.108,0.077,0.01,0.205,0.386,136.2,4
TRK0BF96D90F9,0.664,0.716,11,-4.55,0,0.056,0.283,0.141,0.288,0.294,161.2,3
TRKFA0139F16F,0.851,0.731,0,-3.07,0,0.062,0.0,0.219,0.187,0.77,129.6,4
TRK6DD237D484,0.716,0.848,4,-5.92,1,0.077,0.07,0.063,0.291,0.422,129.3,4
TRK82EF473DFA,0.903,0.475,10,-8.16,0,0.281,0.182,0.0,0.131,0.537,106.8,4
TRKB3D1A0F327,0.735,0.697,11,-3.37,1,0.051,0.212,0.025,0.139,0.84,93.6,4
TRKC8038B5422,0.816,0.652,7,-6.53,0,0.263,0.266,0.0,0.2,0.617,88.6,4
TRK9CE7D2DFB9,0.606,0.652,7,-5.68,1,0.089,0.12,0.137,0.085,0.29,111.8,4
TRKB521F01928,0.817,0.711,2,-7.52,1,0.039,0.227,0.0,0.237,0.337,108.9,4
TRK0742E41B42,0.598,0.557,2,-6.57,1,0.066,0.4,0.0,0.081,0.621,91.3,4
TRK76129DE937,0.777,0.493,11,-4.0,1,0.2,0.0,0.0,0.145,0.62,117.0,4
TRK243D9FC286,0.834,0.759,5,-6.64,0,0.232,0.003,0.0,0.123,0.478,93.9,4
TRKFE2EEE0439,0.563,0.64,5,-7.66,0,0.042,0.165,0.048,0.174,0.582,86.3,3
TRK9A70457A19,0.588,0.692,8,-5.74,1,0.0,0.4,0.0,0.141,0.441,97.9,4
TRK97DAA6D2B7,0.645,0.54,11,-8.15,1,0.135,0.419,0.0,0.19,0.346,82.4,4
TRKC622E3AC09,1.0,0.754,5,-3.25,1,0.055,0.034,0.0,0.137,0.903,111.4,4
TRKD1DEF4A8E8,0.858,0.687,10,-6.73,0,0.046,0.011,0.013,0.206,0.312,143.7,4
TRK926A2DBA96,0.637,0.379,2,-5.32,1,0.113,0.409,0.0,0.0,0.418,93.7,4
TRK3F2AB6FA47,0.477,0.953,7,-6.41,1,0.11,0.0,0.184,0.2,0.53,172.9,5
TRK526E32AA16,0.718,0.747,7,-4.75,1,0.071,0.329,0.0,0.12,0.6,91.3,4
TRK5862DA0A6C,0.612,0.689,11,-1.79,0,0.062,0.0,0.057,0.215,0.793,102.6,4
TRK123A79A322,0.505,0.954,9,-7.1,0,0.057,0.042,0.11,0.17,0.513,133.4,4
TRK084412D85F,0.278,0.853,1,-6.18,1,0.017,0.098,0.081,0.326,0.006,141.0,4
TRKD10206DC23,0.365,0.496,3,-10.63,1,0.047,0.355,0.028,0.135,0.526,101.8,5
TRK6687680172,0.7,0.535,2,-6.88,1,0.101,0.31,0.092,0.123,0.403,85.4,4
TRK18EFFD061B,0.783,0.551,2,-4.16,0,0.116,0.118,0.229,0.233,0.452,134.2,4
TRK3CA98C09D1,0.904,0.876,3,-5.29,1,0.112,0.25,0.0,0.171,0.534,92.8,4
TRK5450FCC1D6,0.791,0.708,0,-3.91,1,0.074,0.173,0.029,0.17,0.725,138.4,4
TRK8D65FC8A90,0.775,0.781,9,-4.58,1,0.072,0.234,0.0,0.163,0.867,94.2,4
TRKDAAB62D071,0.537,0.46,5,-9.22,1,0.082,0.872,0.428,0.22,0.333,85.6,4
TRK4D6065E2CB,0.447,0.61,0,-8.12,1,0.077,0.217,0.0,0.116,0.235,64.1,4
TRK840A0DE734,0.664,0.712,3,-6.17,1,0.094,0.119,0.0,0.105,0.654,98.0,4
TRKAA2D6372CD,0.514,0.366,3,-12.23,1,0.041,0.564,0.333,0.168,0.367,102.6,4
TRK203E7B3AF5,0.736,0.684,4,-3.41,0,0.088,0.364,0.17,0.124,0.905,111.0,4
TRKF76B76238A,0.57,0.796,6,-3.53,1,0.079,0.075,0.062,0.165,0.486,94.4,4
TRK0140885385,0.877,0.58,4,-8.24,0,0.286,0.083,0.042,0.142,0.429,97.6,4
TRK1CEE6BA979,0.593,0.633,8,-3.53,1,0.035,0.233,0.0,0.118,0.365,175.5,4
TRK2A20A96834,0.596,0.63,11,-5.99,1,0.032,0.246,0.06,0.227,0.48,128.6,4
TRK3623428B31,0.432,0.369,6,-8.15,1,0.034,0.654,0.177,0.266,0.266,88.2,4
TRKBB60297998,0.701,0.845,3,-4.47,1,0.12,0.063,0.0,0.176,0.454,116.2,4
TRKCACEDE0274,0.774,0.513,11,-8.2,0,0.236,0.079,0.0,0.067,0.268,101.4,4
TRK19DF2AD4A5,0.208,0.113,8,-15.27,1,0.029,1.0,0.922,0.125,0.302,50.7,4
TRKBF8048047E,0.706,0.657,1,-7.11,0,0.152,0.081,0.0,0.245,0.656,98.4,4
TRK2E90D806F9,0.83,0.876,3,-5.52,1,0.058,0.235,0.0,0.26,0.581,133.2,4
TRK6144C9B136,0.725,0.627,1,-7.86,0,0.236,0.184,0.053,0.143,0.511,80.6,4
TRKE68A91473B,0.74,0.578,8,-9.41,1,0.072,0.423,0.172,0.055,0.493,74.1,4
TRK617E8F51C1,0.736,0.666,3,-8.84,1,0.231,0.07,0.0,0.236,0.477,112.3,4
TRKBEA586C5A5,0.299,0.147,1,-15.69,1,0.008,0.863,0.911,0.084,0.267,79.4,4
TRKA93FBA9D38,0.606,0.777,2,-5.43,0,0.104,0.0,0.091,0.155,0.279,131.5,4
TRK3AA35585C0,0.664,0.498,7,-10.2,0,0.092,0.243,0.0,0.125,0.545,87.8,4
TRK68340B7D13,0.45,0.596,0,-8.73,1,0.106,0.288,0.085,0.099,0.643,98.9,4
TRKE2E31A4390,0.508,0.862,1,-7.33,0,0.072,0.137,0.0,0.292,0.522,143.5,4
TRKF26B6A8B62,0.372,0.074,5,-13.57,1,0.007,0.936,0.876,0.172,0.431,123.4,4
TRK0A65967034,0.397,0.941,7,-5.3,1,0.057,0.0,0.059,0.354,0.277,136.5,4
TRK68200CBD85,0.548,0.34,11,-10.02,0,0.0,0.357,0.222,0.12,0.489,124.6,5
TRK1A38AD4A11,0.308,1.0,4,-3.45,1,0.054,0.069,0.228,0.283,0.472,137.3,4
TRK91D98E7CE8,0.584,0.353,3,-9.82,1,0.064,0.26,0.021,0.228,0.5,89.1,4
TRK4DF0EA1B7B,0.736,0.489,5,-5.38,0,0.259,0.2,0.129,0.169,0.557,118.4,4
TRK2E38DDBBA3,0.305,0.941,2,-2.52,1,0.04,0.084,0.217,0.319,0.654,142.9,4
TRK3B4D8FE669,0.733,0.693,0,-6.04,1,0.081,0.352,0.0,0.0,0.801,96.6,4
TRK679D592517,0.611,0.99,10,-3.49,1,0.063,0.0,0.154,0.307,0.351,120.0,4
TRKA7566CE187,0.735,0.555,6,-4.45,1,0.094,0.217,0.112,0.171,0.724,123.5,4
TRKB950089368,0.838,0.667,11,-4.93,1,0.252,0.214,0.0,0.133,0.825,113.3,4
TRKBA467E537E,0.31,0.054,5,-13.91,1,0.0,0.759,0.952,0.183,0.266,50.0,4
TRK7AB51D6F48,0.859,0.63,6,-6.03,0,0.232,0.0,0.056,0.191,0.304,95.7,4
TRK48D39192F7,0.384,0.54,5,-5.54,1,0.042,0.465,0.023,0.213,0.67,87.7,4
TRK71076720A3,0.552,0.581,7,-6.25,1,0.239,0.174,0.035,0.226,0.312,91.5,3
TRKC91AD88CBC,0.581,0.476,3,-7.24,0,0.053,0.219,0.0,0.154,0.272,92.9,4
TRK388EA1F56A,0.484,0.746,7,-2.2,0,0.054,0.089,0.0,0.205,0.361,146.4,4
TRKA528C65A5D,0.562,0.678,10,-7.15,1,0.059,0.06,0.0,0.253,0.552,113.9,4
TRKA21310E954,0.436,0.865,3,-7.99,1,0.013,0.342,0.12,0.225,0.532,160.8,4
TRK15171C57CE,0.138,0.157,9,-14.81,1,0.104,0.951,0.799,0.094,0.218,84.0,5
TRK70D0A47D32,0.706,0.515,4,-8.53,1,0.099,0.099,0.0,0.196,0.363,94.1,4
TRKEFABF0F770,0.379,0.582,0,-9.16,1,0.025,0.338,0.015,0.08,0.691,103.0,5
TRKF07EFF5482,0.811,0.609,3,-2.96,0,0.09,0.382,0.166,0.162,0.589,106.0,4
TRK3AED991170,0.522,0.856,7,-6.2,1,0.097,0.0,0.051,0.25,0.54,127.4,4
TRK0488F56D33,0.846,0.563,3,-5.86,1,0.117,0.093,0.121,0.153,0.39,169.4,4
TRK8C78DB2228,0.299,0.284,8,-13.21,1,0.0,0.88,0.86,0.076,0.315,93.7,4
TRKB064BEA29B,0.518,0.214,8,-12.82,0,0.043,0.456,0.162,0.275,0.456,137.3,5
TRK10A8B92928,0.49,0.676,5,-4.29,1,0.115,0.116,0.171,0.05,0.642,90.0,5
TRK7E1A5EAF41,0.528,0.507,3,-8.02,1,0.048,0.277,0.088,0.201,0.609,108.1,4
TRK661497BC3E,0.61,0.941,9,-3.97,1,0.041,0.015,0.207,0.252,0.247,137.0,4
TRKE647086177,0.412,0.787,6,-3.95,1,0.04,0.218,0.0,0.217,0.434,116.2,4
TRKB1375E47DC,0.68,0.58,6,-6.28,0,0.191,0.163,0.012,0.178,0.478,108.3,4
TRKBAD4585A2E,0.863,0.608,4,-7.55,1,0.26,0.165,0.0,0.137,0.304,102.0,4
TRKFDC9A96E81,0.514,0.468,1,-9.8,1,0.065,0.678,0.543,0.182,0.34,96.8,4
